product_id,product_category,date,original_price,discount_percentage,selling_price,units_sold,sales_volume,inventory_level,stock_status,competitor_price,customer_rating,store_region,promotion_flag,is_holiday
1382,Electronics,28-02-2025,1024.13,5,972.92,24,23350.08,135,In Stock,937.54,4.6,Central,0,0
1855,Home,09-10-2023,692.17,15,588.34,24,14120.16,253,In Stock,586.52,4.8,East,0,0
1894,Groceries,21-01-2022,3140.45,15,2669.38,14,37371.32,53,In Stock,2849.74,3.3,West,1,0
1375,Home,20-04-2024,652.21,0,652.21,23,15000.83,477,In Stock,628.05,4.6,West,0,0
1470,Clothing,16-06-2022,3820.56,30,2674.39,19,50813.41,128,In Stock,2608.35,4.2,West,1,0
1789,Groceries,21-07-2025,298.45,10,268.6,22,5909.2,225,In Stock,259.43,4.9,West,0,0
1641,Books,23-01-2023,1397,30,977.9,21,20535.9,19,In Stock,881.86,3.2,South,0,0
1030,Home,24-08-2023,4475.2,30,3132.64,14,43856.96,99,In Stock,3417.84,3.2,West,1,0
1374,Groceries,12-11-2022,3648.95,5,3466.5,28,97062,289,In Stock,3216.22,4.3,East,1,0
1010,Groceries,14-01-2022,550.25,0,550.25,16,8804,56,In Stock,526.88,4.8,West,1,0
1987,Groceries,30-08-2022,4141.41,10,3727.27,23,85727.21,225,In Stock,3450.93,4.6,Central,0,0
1301,Electronics,16-02-2024,2566.57,15,2181.58,29,63265.82,140,In Stock,2177.45,4.3,South,1,0
1095,Home,01-10-2025,4264.56,30,2985.19,10,29851.9,124,In Stock,3243.21,3.5,Central,0,0
1189,Groceries,19-07-2023,3083.55,5,2929.37,15,43940.55,437,In Stock,2695.43,4.3,East,0,0
1452,Home,16-06-2024,3472.8,30,2430.96,23,55912.08,308,In Stock,2402.22,4.5,East,0,0
1191,Groceries,25-09-2025,4968.81,20,3975.05,18,71550.9,51,In Stock,3595.33,4.4,West,1,0
1485,Books,02-04-2022,1315.21,15,1117.93,21,23476.53,133,In Stock,1178.5,4.2,East,0,0
1265,Books,22-10-2025,3194.94,30,2236.46,31,69330.26,291,In Stock,2299.63,2.6,South,1,0
1423,Books,13-08-2024,2409.54,20,1927.63,27,52046.01,152,In Stock,2004.62,4.1,Central,0,0
1127,Clothing,22-12-2025,389.37,20,311.5,23,7164.5,346,In Stock,309.78,3.7,East,0,0
1237,Groceries,24-05-2023,269.46,5,255.99,20,5119.8,185,In Stock,276.86,4.9,East,0,0
1919,Clothing,15-02-2024,772.3,5,733.68,25,18342,238,In Stock,720.41,4,South,0,0
1354,Home,04-02-2022,3315.64,20,2652.51,19,50397.69,182,In Stock,2659.98,4,North,0,0
1939,Clothing,25-07-2022,2922.38,0,2922.38,20,58447.6,350,In Stock,3036.52,5,North,1,0
1111,Home,09-01-2025,2856.46,30,1999.52,22,43989.44,2,In Stock,2007.74,2.7,South,0,0
1827,Home,12-11-2025,352.91,20,282.33,20,5646.6,283,In Stock,264.79,3.2,East,1,0
1445,Home,22-10-2024,2452.65,20,1962.12,22,43166.64,377,In Stock,1890.33,4.1,South,1,0
1342,Clothing,18-10-2024,4638.19,5,4406.28,22,96938.16,195,In Stock,4046.99,3.3,South,1,0
1144,Groceries,14-11-2025,2108.44,30,1475.91,17,25090.47,464,In Stock,1456.02,3.4,North,0,0
1064,Clothing,20-07-2023,3199.63,10,2879.67,10,28796.7,165,In Stock,2942.67,4.7,West,1,0
1246,Groceries,03-02-2025,3943.13,15,3351.66,17,56978.22,289,In Stock,3095.95,3.9,East,0,0
1734,Groceries,04-12-2023,3962.84,5,3764.7,18,67764.6,339,In Stock,3863.02,2.8,Central,0,0
1990,Home,06-02-2023,2692.54,30,1884.78,17,32041.26,140,In Stock,2032.88,3.3,South,1,1
1489,Clothing,31-12-2023,4318.17,30,3022.72,21,63477.12,110,In Stock,2924.62,2.7,North,0,0
1824,Groceries,11-06-2022,2078.61,0,2078.61,13,27021.93,260,In Stock,1963.05,3.9,West,0,0
1438,Books,21-07-2022,4465.73,15,3795.87,24,91100.88,383,In Stock,4094.23,2.9,East,0,0
1105,Groceries,22-09-2024,1353.09,5,1285.44,14,17996.16,187,In Stock,1334.79,4.6,South,0,0
1180,Books,27-09-2022,1545.04,5,1467.79,21,30823.59,343,In Stock,1351.95,3.9,North,0,1
1183,Clothing,26-03-2024,454.98,10,409.48,18,7370.64,370,In Stock,401.95,2.6,South,1,1
1225,Clothing,18-07-2025,4018.79,0,4018.79,19,76357.01,357,In Stock,4158.72,3.3,Central,1,0
1776,Clothing,01-04-2023,2201.87,0,2201.87,19,41835.53,272,In Stock,2234.63,4,East,0,0
1789,Groceries,29-06-2025,1299.76,30,909.83,21,19106.43,184,In Stock,931.4,3.3,East,0,0
1908,Electronics,13-10-2024,1312.59,30,918.81,22,20213.82,286,In Stock,931.15,3.8,East,1,0
1088,Groceries,23-10-2022,4526.72,5,4300.38,16,68806.08,91,In Stock,4556.74,4.8,East,1,0
1687,Groceries,21-12-2023,4202.8,10,3782.52,23,86997.96,448,In Stock,3646.67,3.4,North,1,0
1529,Home,04-12-2022,2856.95,5,2714.1,30,81423,193,In Stock,2827.26,3.3,Central,0,0
1370,Home,28-05-2024,3157.33,20,2525.86,17,42939.62,416,In Stock,2773.94,4.5,South,1,0
1971,Groceries,12-12-2024,2476.76,30,1733.73,20,34674.6,359,In Stock,1695.57,3.3,North,1,0
1935,Books,02-03-2024,2080,20,1664,15,24960,348,In Stock,1760.86,2.7,West,1,0
1912,Home,05-08-2022,4594.29,10,4134.86,17,70292.62,387,In Stock,3924.9,3,East,0,0
1398,Groceries,03-02-2024,802.94,5,762.79,18,13730.22,337,In Stock,729.52,4.9,East,1,0
1105,Electronics,07-07-2022,2208.54,30,1545.98,23,35557.54,310,In Stock,1680.44,4.8,South,0,0
1270,Books,15-01-2023,1853.9,10,1668.51,20,33370.2,407,In Stock,1510.31,3.1,East,0,0
1974,Clothing,08-05-2023,2591.12,5,2461.56,20,49231.2,415,In Stock,2322.45,3.9,East,0,0
1830,Groceries,30-11-2024,2396.63,5,2276.8,11,25044.8,328,In Stock,2269.02,2.8,South,0,1
1502,Groceries,26-03-2025,2690.67,20,2152.54,16,34440.64,46,In Stock,2110.28,4.2,Central,0,0
1678,Books,15-01-2022,871.61,15,740.87,25,18521.75,143,In Stock,760.01,3,North,1,1
1524,Home,06-03-2022,2663.08,0,2663.08,23,61250.84,148,In Stock,2499.42,2.6,Central,0,0
1848,Home,05-06-2023,1363.61,30,954.53,15,14317.95,349,In Stock,872.54,4.6,South,0,0
1031,Home,29-09-2025,1084.79,0,1084.79,22,23865.38,322,In Stock,1056.44,3.3,East,1,0
1392,Clothing,26-02-2025,511.2,10,460.08,19,8741.52,352,In Stock,462.32,2.8,East,1,0
1039,Books,10-10-2023,3860.73,0,3860.73,20,77214.6,414,In Stock,3908.6,4.6,Central,0,1
1659,Books,22-12-2024,2251.72,20,1801.38,20,36027.6,119,In Stock,1837.95,4.4,West,1,0
1217,Home,08-03-2025,3207.89,15,2726.71,18,49080.78,492,In Stock,2753.25,4.2,North,1,0
1730,Home,16-08-2023,3692.45,30,2584.71,15,38770.65,397,In Stock,2453.28,4.8,East,0,0
1980,Electronics,27-01-2023,3460.72,5,3287.68,17,55890.56,133,In Stock,3461.63,3.7,South,0,0
1081,Electronics,23-02-2023,2458.4,5,2335.48,17,39703.16,196,In Stock,2142.93,2.8,Central,1,0
1844,Groceries,16-10-2022,2061.91,20,1649.53,14,23093.42,412,In Stock,1550.02,2.7,North,1,0
1719,Groceries,14-01-2023,2004.61,30,1403.23,19,26661.37,438,In Stock,1470.41,3.3,West,0,0
1200,Books,19-08-2022,3272.23,0,3272.23,23,75261.29,36,In Stock,3128.07,2.7,East,1,0
1446,Books,14-10-2024,2575.01,5,2446.26,27,66049.02,186,In Stock,2443.07,3.8,Central,1,0
1843,Clothing,10-02-2022,4275.83,0,4275.83,17,72689.11,419,In Stock,4128.06,2.5,East,0,0
1427,Clothing,17-11-2024,4398.57,20,3518.86,28,98528.08,212,In Stock,3523.77,3.6,Central,0,0
1037,Electronics,15-05-2022,1018.69,5,967.76,25,24194,459,In Stock,938.08,2.9,West,0,0
1210,Groceries,20-07-2022,853.92,10,768.53,18,13833.54,109,In Stock,844.49,3.4,South,1,0
1443,Electronics,19-02-2024,3225.92,15,2742.03,21,57582.63,186,In Stock,2663.87,4.2,South,1,0
1326,Electronics,18-07-2024,1645.88,0,1645.88,23,37855.24,470,In Stock,1687.7,3.4,North,0,0
1760,Groceries,22-11-2024,289.14,30,202.4,22,4452.8,77,In Stock,218.12,3.4,East,1,0
1226,Clothing,07-12-2024,4465.48,0,4465.48,20,89309.6,447,In Stock,4588.67,5,East,1,1
1047,Groceries,18-05-2023,1289.12,0,1289.12,24,30938.88,426,In Stock,1306.1,4.3,East,0,0
1017,Home,11-02-2023,4660.55,0,4660.55,26,121174.3,373,In Stock,4725.08,3.8,South,1,0
1911,Home,15-03-2024,3643.69,20,2914.95,25,72873.75,297,In Stock,2912.89,3.9,North,0,0
1438,Home,09-04-2022,3860.74,20,3088.59,11,33974.49,329,In Stock,3278.59,4.1,South,0,0
1806,Books,15-11-2023,1167.02,30,816.91,16,13070.56,124,In Stock,743.46,2.6,Central,1,0
1707,Clothing,27-12-2023,1324.13,20,1059.3,18,19067.4,315,In Stock,1140.89,2.7,East,1,1
1186,Clothing,18-08-2024,2702.09,30,1891.46,24,45395.04,445,In Stock,1924.1,4.1,Central,1,0
1344,Books,05-09-2023,1026.08,30,718.26,24,17238.24,319,In Stock,768.38,3.4,West,0,0
1223,Electronics,05-10-2023,1666.07,20,1332.86,21,27990.06,474,In Stock,1202.34,2.6,Central,0,0
1829,Home,25-10-2024,1743.02,5,1655.87,15,24838.05,488,In Stock,1778.16,3.2,Central,1,1
1487,Home,26-05-2025,966.22,20,772.98,23,17778.54,313,In Stock,714.25,2.8,Central,0,0
1908,Electronics,18-05-2023,1184.88,5,1125.64,22,24764.08,1,In Stock,1175.44,4.8,South,1,0
1876,Groceries,06-02-2024,3985.05,10,3586.54,23,82490.42,333,In Stock,3526.66,3,Central,1,1
1848,Groceries,02-02-2023,1002.54,20,802.03,30,24060.9,70,In Stock,831.08,2.9,East,1,0
1228,Clothing,20-05-2024,336.6,10,302.94,22,6664.68,464,In Stock,310.71,4.1,North,1,0
1389,Books,05-03-2024,3220.9,20,2576.72,20,51534.4,375,In Stock,2403.25,3.8,West,0,0
1978,Clothing,28-01-2023,4884.72,10,4396.25,28,123095,211,In Stock,4409.1,3.9,East,1,0
1588,Groceries,26-07-2022,1789.83,15,1521.36,17,25863.12,7,In Stock,1453.58,3.6,North,0,0
1187,Electronics,04-11-2024,769.55,10,692.6,27,18700.2,183,In Stock,700.97,3.7,East,1,0
1857,Clothing,10-06-2024,2937.86,5,2790.97,22,61401.34,467,In Stock,2923.82,4.4,Central,0,0
1269,Home,13-05-2024,4550.5,0,4550.5,14,63707,163,In Stock,4169.4,3,West,1,0
1606,Home,13-01-2024,3963.5,30,2774.45,30,83233.5,452,In Stock,2783.2,3.5,East,0,0
1309,Electronics,18-06-2025,3188.08,10,2869.27,20,57385.4,268,In Stock,2936.77,4.9,West,0,0
1131,Groceries,18-07-2023,1712.27,0,1712.27,21,35957.67,294,In Stock,1642.19,3,South,1,0
1550,Home,17-10-2024,2801.02,15,2380.87,17,40474.79,357,In Stock,2596.58,3.2,South,1,0
1071,Home,06-04-2022,637.98,15,542.28,15,8134.2,80,In Stock,544.48,3,Central,0,0
1792,Books,30-04-2023,3458.94,5,3285.99,9,29573.91,261,In Stock,3077.34,2.6,Central,1,0
1844,Clothing,01-12-2025,3680.46,5,3496.44,18,62935.92,274,In Stock,3222.17,3.2,South,0,0
1671,Groceries,19-08-2022,4832.15,10,4348.93,27,117421.11,408,In Stock,4385.16,2.6,East,0,0
1186,Clothing,19-01-2024,1449.91,20,1159.93,25,28998.25,386,In Stock,1130.99,2.9,North,0,1
1485,Groceries,09-04-2025,288.59,15,245.3,26,6377.8,104,In Stock,230.22,3.4,North,1,0
1190,Home,25-06-2023,2818.92,0,2818.92,25,70473,308,In Stock,2554.34,2.6,South,0,1
1421,Books,25-11-2024,3592.59,20,2874.07,18,51733.26,27,In Stock,2912.35,4.4,North,0,0
1119,Clothing,09-06-2023,3993.96,15,3394.87,14,47528.18,409,In Stock,3461.82,4.5,East,0,0
1219,Home,29-03-2025,1129.95,10,1016.96,16,16271.36,46,In Stock,944.11,3.5,North,1,0
1052,Groceries,20-06-2025,1456.41,15,1237.95,18,22283.1,391,In Stock,1263.14,5,North,0,0
1733,Clothing,14-01-2025,2660.44,5,2527.42,13,32856.46,312,In Stock,2755.88,4.2,South,1,0
1450,Clothing,01-08-2023,1786.88,0,1786.88,13,23229.44,54,In Stock,1957.81,4.4,West,0,0
1411,Home,13-11-2023,4330.46,0,4330.46,14,60626.44,78,In Stock,4666.93,3,West,1,0
1642,Clothing,11-07-2023,2474.05,5,2350.35,15,35255.25,0,Out of Stock,2494.7,4.6,East,0,0
1236,Books,09-10-2024,4037.98,20,3230.38,17,54916.46,167,In Stock,3042.61,4.9,West,1,0
1757,Books,08-10-2023,2986.97,5,2837.62,11,31213.82,22,In Stock,2642.64,3.1,Central,1,0
1737,Home,06-03-2024,3910.83,0,3910.83,22,86038.26,227,In Stock,3867.77,4.2,South,1,0
1719,Groceries,17-11-2024,1796.83,10,1617.15,18,29108.7,437,In Stock,1655.84,4.4,West,1,0
1405,Home,25-09-2025,4190.8,20,3352.64,21,70405.44,297,In Stock,3587.78,3.3,North,1,0
1607,Books,16-09-2025,1517.95,30,1062.56,26,27626.56,463,In Stock,1005.6,3.7,West,1,0
1421,Electronics,03-10-2025,2821.27,15,2398.08,19,45563.52,433,In Stock,2388.32,2.7,South,0,0
1711,Electronics,08-06-2025,1227.23,30,859.06,20,17181.2,259,In Stock,884.39,2.9,North,1,0
1246,Clothing,09-07-2022,2482.53,10,2234.28,15,33514.2,263,In Stock,2209.97,2.7,North,0,0
1071,Clothing,02-06-2025,1727.24,30,1209.07,19,22972.33,163,In Stock,1197.99,3.9,South,0,0
1829,Electronics,09-11-2025,1480.18,20,1184.14,17,20130.38,9,In Stock,1119.04,4.1,East,1,1
1184,Books,01-11-2025,4841.53,0,4841.53,20,96830.6,115,In Stock,5312.77,4.8,East,0,0
1005,Clothing,30-07-2025,968.36,0,968.36,23,22272.28,157,In Stock,963.56,3.9,South,1,0
1205,Home,25-09-2023,3979.16,10,3581.24,18,64462.32,355,In Stock,3604.69,3.2,South,0,0
1543,Home,20-09-2023,4923.99,30,3446.79,17,58595.43,271,In Stock,3252.78,2.6,South,1,0
1610,Books,30-08-2024,295.53,20,236.42,16,3782.72,157,In Stock,237.09,4.7,North,0,0
1905,Clothing,06-07-2025,3555.33,15,3022.03,11,33242.33,319,In Stock,2874.16,3.7,North,1,0
1386,Home,14-10-2025,1413.98,30,989.79,18,17816.22,363,In Stock,930.87,4.3,South,1,0
1767,Clothing,11-12-2023,394.34,30,276.04,24,6624.96,201,In Stock,263.66,2.5,North,1,0
1698,Clothing,05-12-2025,2133.87,15,1813.79,27,48972.33,120,In Stock,1633.41,3.7,Central,0,0
1075,Home,11-10-2023,4689.05,5,4454.6,17,75728.2,138,In Stock,4517.1,3.3,South,0,1
1176,Electronics,14-11-2022,256.47,10,230.82,22,5078.04,161,In Stock,225.63,2.6,North,1,1
1826,Home,02-06-2025,3021.85,20,2417.48,21,50767.08,207,In Stock,2610.24,4.4,East,1,0
1798,Books,11-06-2025,2606.7,10,2346.03,20,46920.6,54,In Stock,2130.53,3.8,South,0,0
1348,Groceries,15-11-2023,4392.24,15,3733.4,19,70934.6,338,In Stock,3392.32,3.3,South,0,0
1254,Home,26-10-2023,603.21,20,482.57,23,11099.11,491,In Stock,519.81,4.5,South,0,0
1836,Clothing,29-10-2025,3471.32,0,3471.32,21,72897.72,259,In Stock,3212.11,3.6,West,0,0
1701,Clothing,10-06-2025,3464.53,0,3464.53,21,72755.13,432,In Stock,3119.57,2.5,South,0,0
1307,Home,10-02-2025,3411.58,20,2729.26,15,40938.9,43,In Stock,2553.99,4.9,East,1,0
1344,Groceries,18-03-2023,4723.21,10,4250.89,20,85017.8,158,In Stock,4526.24,3.1,North,1,0
1126,Home,18-07-2023,4150.82,10,3735.74,15,56036.1,303,In Stock,3961.91,4.6,South,0,0
1936,Groceries,15-07-2025,401.47,0,401.47,22,8832.34,354,In Stock,388.63,4.5,Central,0,0
1286,Groceries,10-11-2025,2461.2,0,2461.2,16,39379.2,97,In Stock,2543.91,2.9,North,1,0
1765,Books,11-11-2025,2110.17,15,1793.64,27,48428.28,25,In Stock,1796.24,3.7,East,1,0
1724,Clothing,10-02-2025,1688.71,20,1350.97,16,21615.52,358,In Stock,1460.33,2.6,West,0,0
1761,Clothing,09-08-2024,2366.42,10,2129.78,15,31946.7,197,In Stock,1940.84,3.4,East,0,0
1595,Groceries,09-01-2025,2044.13,15,1737.51,13,22587.63,96,In Stock,1846.34,4.3,West,0,0
1486,Clothing,30-11-2023,2275.2,10,2047.68,19,38905.92,238,In Stock,1912.78,3.1,North,1,0
1382,Electronics,23-04-2022,4900.46,0,4900.46,26,127411.96,474,In Stock,4794.24,2.8,West,0,0
1405,Groceries,02-01-2022,625.44,20,500.35,21,10507.35,11,In Stock,469.52,3.8,North,1,0
1387,Clothing,04-10-2023,4626.71,5,4395.37,22,96698.14,44,In Stock,4573.48,3.8,East,0,0
1524,Electronics,08-08-2022,2505.14,20,2004.11,22,44090.42,391,In Stock,2075.59,4.2,East,0,0
1556,Books,04-05-2024,3193.96,30,2235.77,24,53658.48,8,In Stock,2257.19,4.4,West,1,0
1638,Clothing,02-06-2025,4184.88,5,3975.64,13,51683.32,0,Out of Stock,4133.2,4.2,Central,0,0
1937,Electronics,20-01-2023,1930.22,15,1640.69,30,49220.7,388,In Stock,1686.49,4.6,East,1,0
1625,Home,27-11-2025,2266.03,5,2152.73,25,53818.25,326,In Stock,2271.75,3.1,West,0,0
1944,Home,27-02-2025,2165.69,5,2057.41,19,39090.79,209,In Stock,1950.18,3.9,South,1,0
1275,Electronics,12-12-2024,1998.71,15,1698.9,15,25483.5,53,In Stock,1674.75,3.4,North,1,0
1499,Groceries,31-12-2023,4642.54,20,3714.03,23,85422.69,103,In Stock,3455.26,4.9,South,0,0
1716,Groceries,10-12-2025,4178.86,15,3552.03,21,74592.63,151,In Stock,3502.01,3.6,South,0,0
1336,Clothing,04-09-2022,723.2,30,506.24,19,9618.56,409,In Stock,526.66,4.9,South,1,0
1949,Home,15-04-2024,718.99,0,718.99,21,15098.79,9,In Stock,746.51,4.4,West,0,0
1931,Groceries,22-07-2022,2253.77,0,2253.77,21,47329.17,444,In Stock,2348.17,4.3,East,1,0
1480,Groceries,22-04-2025,673.56,5,639.88,21,13437.48,39,In Stock,615.41,3.7,South,1,0
1896,Home,03-05-2022,3171.65,15,2695.9,21,56613.9,43,In Stock,2783.36,3.6,West,0,0
1910,Books,05-02-2023,889.72,15,756.26,20,15125.2,367,In Stock,736.21,3.8,East,1,0
1972,Groceries,06-02-2024,2707.39,15,2301.28,17,39121.76,267,In Stock,2505.86,3.2,North,0,0
1272,Electronics,21-10-2022,234.66,30,164.26,27,4435.02,277,In Stock,159.11,4.8,East,0,0
1919,Clothing,07-10-2022,1719.66,30,1203.76,19,22871.44,154,In Stock,1228.56,4.5,East,1,1
1057,Groceries,02-06-2024,3450.52,20,2760.42,20,55208.4,450,In Stock,2898.52,4.5,South,1,0
1327,Groceries,17-07-2022,2523.39,10,2271.05,16,36336.8,81,In Stock,2455.64,3.6,West,0,0
1730,Books,08-09-2024,4895.69,10,4406.12,22,96934.64,196,In Stock,4351.42,2.7,Central,1,0
1108,Electronics,22-01-2024,4395.7,10,3956.13,16,63298.08,397,In Stock,3845.74,4.2,North,1,0
1278,Clothing,24-05-2022,1923.54,20,1538.83,15,23082.45,408,In Stock,1517.3,3.4,West,0,0
1685,Groceries,01-09-2023,418.34,15,355.59,20,7111.8,51,In Stock,343.05,4.7,South,0,1
1327,Clothing,09-05-2025,4259.01,10,3833.11,14,53663.54,222,In Stock,3951.11,4.5,West,0,0
1775,Home,21-02-2025,4573.92,15,3887.83,18,69980.94,468,In Stock,4224.3,2.9,Central,1,0
1314,Groceries,06-07-2022,4139.01,5,3932.06,23,90437.38,367,In Stock,3638,4,North,1,1
1473,Groceries,11-09-2025,814.16,10,732.74,17,12456.58,373,In Stock,741.67,4.2,East,0,0
1110,Home,09-04-2023,4989.99,5,4740.49,19,90069.31,58,In Stock,5117.5,3.9,North,0,0
1698,Books,04-10-2025,1441.2,20,1152.96,28,32282.88,293,In Stock,1060.75,3.8,Central,0,0
1780,Groceries,22-10-2023,3676.18,0,3676.18,12,44114.16,495,In Stock,3671.67,3.1,North,0,0
1934,Clothing,03-02-2024,4558.57,30,3191,17,54247,275,In Stock,3424.09,3.1,North,1,0
1228,Electronics,12-08-2024,1331.3,20,1065.04,20,21300.8,333,In Stock,1150.34,4.4,South,1,0
1496,Clothing,07-02-2023,4559.64,20,3647.71,17,62011.07,275,In Stock,3658.18,2.5,East,0,0
1155,Books,01-10-2025,1685.51,20,1348.41,18,24271.38,439,In Stock,1220.3,4.4,Central,1,0
1472,Electronics,27-05-2022,4886.78,10,4398.1,16,70369.6,356,In Stock,4051.21,3.8,South,1,0
1700,Clothing,17-03-2025,1550.05,5,1472.55,22,32396.1,109,In Stock,1498.09,4.8,North,1,0
1271,Clothing,13-05-2024,4776.49,30,3343.54,32,106993.28,29,In Stock,3092.01,5,North,0,0
1886,Home,04-05-2023,457.01,10,411.31,20,8226.2,106,In Stock,382.47,4.2,West,0,0
1001,Books,17-07-2024,3604.51,0,3604.51,22,79299.22,296,In Stock,3800.68,3.5,South,1,0
1757,Home,05-07-2023,2754.13,30,1927.89,18,34702.02,339,In Stock,2024.55,3.7,Central,0,0
1721,Electronics,04-12-2022,2493.81,20,1995.05,24,47881.2,326,In Stock,2131.82,3,Central,0,0
1510,Home,21-05-2024,1272.77,15,1081.85,26,28128.1,318,In Stock,996.54,2.7,Central,1,1
1912,Books,03-10-2023,3586.86,0,3586.86,26,93258.36,452,In Stock,3370.32,3.9,Central,1,0
1285,Groceries,18-04-2023,1115.89,5,1060.1,18,19081.8,94,In Stock,1130.69,4.5,North,0,0
1870,Groceries,31-05-2022,2853.64,0,2853.64,26,74194.64,284,In Stock,2979.82,3.2,North,1,0
1012,Electronics,09-12-2025,1415.58,10,1274.02,22,28028.44,206,In Stock,1351.98,3.5,South,1,1
1607,Groceries,14-08-2025,4786.98,15,4068.93,20,81378.6,472,In Stock,4467.48,3.9,East,1,0
1497,Home,20-09-2022,337.43,10,303.69,15,4555.35,332,In Stock,325.82,4.8,Central,0,0
1732,Electronics,24-05-2022,1158.7,30,811.09,27,21899.43,171,In Stock,814.41,2.8,North,1,0
